市場・商品区分,Model_MAE,Group_Baseline_MAE,Target_Std,Target_Mean,Count,MAE_Improvement,Relative_Improvement,Group_Type,33業種区分,規模区分
,0.03578618564435148,0.03576993246137078,0.06395083081304379,0.00617459929399672,13128,-1.625318298070083e-05,-0.0004543811481403612,33業種区分,24.0,
,0.03357198564912275,0.033404855077460334,0.054934788109435646,0.004868174049234626,5772,-0.0001671305716624133,-0.005003182060657504,33業種区分,25.0,
,0.06096498664920141,0.06007638308513068,0.08341669244343712,0.01024941585156463,780,-0.0008886035640707293,-0.014791229405597569,33業種区分,26.0,
,0.040519662408060916,0.04023884085814307,0.05225532741981515,0.015411399367670903,12283,-0.0002808215499178479,-0.006978867778717798,33業種区分,27.0,
,0.025886250017544698,0.02570362845222453,0.035212891694660416,0.001756229955915522,8735,-0.00018262156532016655,-0.007104894379391074,33業種区分,28.0,
,0.03579454351889538,0.035573455757635666,0.053777163754302394,0.003985658305501856,4368,-0.00022108776125971674,-0.006214964403964643,33業種区分,29.0,
,0.05655985608624134,0.05658850290769597,0.09208408208861486,0.010885470763459094,34891,2.864682145463371e-05,0.0005062304175348271,33業種区分,30.0,
,0.0677060893052079,0.06761385526587661,0.09591936189271313,0.00865253807027266,4992,-9.223403933128482e-05,-0.0013641292745191758,33業種区分,31.0,
,0.023628816886155254,0.023621453193100155,0.03591330975061973,0.0026310725100717382,19209,-7.363693055099235e-06,-0.0003117375122903182,33業種区分,32.0,
,0.03804839290428997,0.03804941474429051,0.07032853628562584,0.0024094810134260994,317894,1.0218400005382322e-06,2.6855603625061383e-05,規模区分,,0.0
,0.04134615644258238,0.04159159924676745,0.056487874610180726,0.006227387027007471,4836,0.00024544280418506426,0.005901259115544599,規模区分,,1.0
,0.042496955309278016,0.0422900543372226,0.05899794278861911,0.006675415727350404,10608,-0.00020690097205541824,-0.00489242625241343,規模区分,,2.0
,0.040094975877814146,0.03997357471540557,0.05700685201414232,0.005557990650036295,61267,-0.00012140116240857285,-0.003037035423348955,規模区分,,3.0
,0.03800656140712056,0.03793254721607669,0.05536391200029614,0.005766209404532771,75504,-7.401419104387241e-05,-0.0019512054021118702,規模区分,,4.0
,0.03510692035277231,0.03508826458847108,0.0583752132724724,0.004915013258185065,102370,-1.865576430123278e-05,-0.0005316810198519334,規模区分,,5.0
